cameras,animals,seconds_per_frame,frames,session,status,ms_per_frame,on_line
2,2,0.00035,3000,10072022131531,ok,0.35,True
3,2,0.0005913333333333334,3000,10072022131531,ok,0.5913333333333334,True
4,2,0.000793,3000,10072022131531,ok,0.7929999999999999,True
5,2,0.0011243333333333333,3000,20250827_141755,ok,1.1243333333333334,False
5,2,0.0009589999999999999,3000,10072022131531,ok,0.9589999999999999,True
6,2,0.0011956666666666667,3000,10072022131531,ok,1.1956666666666667,True
2,3,0.0005386666666666667,3000,10072022142111,ok,0.5386666666666666,True
3,3,0.0009026666666666667,3000,10072022142111,ok,0.9026666666666667,True
4,3,0.001189,3000,10072022142111,ok,1.189,True
5,3,0.0015016666666666666,3000,10072022142111,ok,1.5016666666666665,True
6,3,0.0019093333333333332,3000,10072022142111,ok,1.909333333333333,True
2,4,0.0007360000000000001,3000,10072022145420,ok,0.7360000000000001,True
3,4,0.0011706666666666666,3000,10072022145420,ok,1.1706666666666667,True
4,4,0.001572,3000,10072022145420,ok,1.572,True
5,4,0.002115,3000,10072022145420,ok,2.115,True
6,4,0.0024416666666666666,3000,10072022145420,ok,2.4416666666666664,True
